GROCERYCUSTOMERGUID,FRENCHSTATE,POINT_IN_TIME
7bcec030-88e9-4e2b-aae1-240836a55fbd,Nord-Pas-de-Calais,2022-03-01T00:01:00Z
e6bd8bb7-fdeb-4ca3-b24f-f33e4d80aa52,Île-de-France,2022-02-01T00:01:00Z
c25cb5b2-ed2a-4a85-ad8b-495e04c9eada,Île-de-France,2022-08-01T00:01:00Z
0c8f3006-0ec1-4bec-b20d-bfc77fef3a39,Aquitaine,2022-07-01T00:01:00Z
7ec791a6-38a7-44bb-af7b-101a2623d4dd,Midi-Pyrénées,2022-12-01T00:01:00Z
c163c700-88e4-4985-bf4c-eab676cb0fd7,Île-de-France,2022-05-01T00:01:00Z
5435e9d3-eb81-4151-94e7-15f9b9655662,Île-de-France,2022-11-01T00:01:00Z
7229295e-8ff2-4aef-b75b-73935bcdd9f4,Languedoc-Roussillon,2022-04-01T00:01:00Z
412c23d0-020f-44f7-876a-4cf9b16f2cad,Nord-Pas-de-Calais,2022-03-01T00:01:00Z
ecb0a59a-124e-4ac2-8181-5f6f64b4b5cf,Midi-Pyrénées,2022-03-01T00:01:00Z
fb1806c2-642a-45b1-a1b7-3a8389ba43be,Île-de-France,2022-07-01T00:01:00Z
63961d4e-ee2c-4432-8a23-619f6a5d43ce,Nord-Pas-de-Calais,2022-04-01T00:01:00Z
9c127702-0b29-4324-b1c4-a81f14c156a8,Île-de-France,2022-10-01T00:01:00Z
7b620ecd-23d0-40eb-97e9-90b77d8e68ce,Rhône-Alpes,2022-07-01T00:01:00Z
94ddfe94-84e5-4b55-9e53-a86c8d45933d,Champagne-Ardenne,2022-02-01T00:01:00Z
c968f7ad-69ad-4859-9fca-8db5021c923a,Languedoc-Roussillon,2022-10-01T00:01:00Z
c5264371-11d6-47eb-8060-6a07c6c5fe1e,Rhône-Alpes,2022-08-01T00:01:00Z
3b6d7837-ec11-43dc-ba88-af98822ef8cd,Guadeloupe,2022-05-01T00:01:00Z
04444e6c-1cb6-48ad-a2cb-546edef7d9df,Provence-Alpes-Côte d'Azur,2022-11-01T00:01:00Z
c88ba4b4-627a-4aef-9825-f96a977ba35a,Île-de-France,2022-08-01T00:01:00Z
bae293d8-7b7b-4fba-b8c7-fdaa4389a88f,Martinique,2022-06-01T00:01:00Z
39b15fb8-5cfc-4423-bb64-379189c60df9,Île-de-France,2022-11-01T00:01:00Z
5a073199-4cdd-4aa7-904d-f7f2d0eaa725,Île-de-France,2022-10-01T00:01:00Z
31c25643-ff96-4612-9a8a-9665baadc7a3,Rhône-Alpes,2022-04-01T00:01:00Z
59728405-8f8a-4812-8c4b-56e5bb6aff89,Île-de-France,2022-07-01T00:01:00Z
862d8a78-c5b2-4cf5-9e44-bd9c645424ff,Midi-Pyrénées,2022-09-01T00:01:00Z
e3c28911-91a9-48b0-ba19-775aae05715a,Auvergne,2022-11-01T00:01:00Z
aabf93a1-3816-4089-ad99-2cb294301ba5,Haute-Normandie,2022-03-01T00:01:00Z
69c44f5e-dd1d-4ed1-aee4-c01c85f638de,Nord-Pas-de-Calais,2022-08-01T00:01:00Z
6498e501-9743-4406-84aa-ee37888bb9b2,Guadeloupe,2022-03-01T00:01:00Z
3ce1279c-0986-4c1f-9082-b0f605cd7a5a,Martinique,2022-11-01T00:01:00Z
d6f3d9b6-06f4-418a-8c54-9c17904d0b33,Poitou-Charentes,2022-08-01T00:01:00Z
43232586-9b2a-4629-ae23-d6606ddc2110,Île-de-France,2022-04-01T00:01:00Z
ae239658-dc01-4e82-94e8-d6e80b926879,Île-de-France,2022-10-01T00:01:00Z
9ff6c7e6-675b-4697-8c8a-5c05a2b07491,Bretagne,2022-08-01T00:01:00Z
ec729e6c-3303-485b-b277-7f09d4cee80c,Guadeloupe,2022-04-01T00:01:00Z
50337bb8-1cc8-4670-9171-0a61b5895b26,Languedoc-Roussillon,2022-09-01T00:01:00Z
a03f2003-7a7e-4aff-b421-6ec2c0287aef,Haute-Normandie,2022-06-01T00:01:00Z
2c4eeb98-8989-42b8-a00d-18d7fe97e413,Île-de-France,2022-07-01T00:01:00Z
3204df1a-805d-4c7c-afd3-cfbae19fade4,Aquitaine,2022-07-01T00:01:00Z
ca793bca-81f4-48ec-9055-f24057dfcf2f,Centre,2022-05-01T00:01:00Z
eba22014-2ae4-45fd-a856-f90c89a6a05d,Basse-Normandie,2022-11-01T00:01:00Z
4232342c-8e83-4794-aa05-edb987be4bc9,Guyane,2022-10-01T00:01:00Z
7dca347b-da15-44c8-9958-8f9b251a953d,Pays de la Loire,2022-03-01T00:01:00Z
274c4b00-3df7-4a59-8c1b-f650b23099e1,Île-de-France,2022-05-01T00:01:00Z
5779bf1c-644d-4143-9d23-a12a5a5f7888,Île-de-France,2022-11-01T00:01:00Z
e6bd8bb7-fdeb-4ca3-b24f-f33e4d80aa52,Île-de-France,2022-02-01T00:01:00Z
8fd1af62-1af7-4761-8858-4738d2ebf954,Île-de-France,2022-06-01T00:01:00Z
d31abf9b-9d32-4507-86f4-d8b8fe069546,Basse-Normandie,2022-03-01T00:01:00Z
38f563ad-826d-48b5-8d78-d19d3c26e2c6,Île-de-France,2022-02-01T00:01:00Z
c028b471-7ff7-45f9-9c89-8418971a7f4d,Alsace,2022-09-01T00:01:00Z
2b224cb4-af0f-4be4-9d13-5f7e7dd2dd45,Guyane,2022-10-01T00:01:00Z
25d68354-c057-4ae1-9c43-3387cae5eed1,Nord-Pas-de-Calais,2022-12-01T00:01:00Z
fd430088-8ae7-43f6-b0d7-a8704538521f,Provence-Alpes-Côte d'Azur,2022-04-01T00:01:00Z
7cc5b9fd-7719-417b-a343-7c87466a74a6,Haute-Normandie,2022-11-01T00:01:00Z
acf4a2b1-32e3-4264-9f50-ccfd8d63d811,Île-de-France,2022-07-01T00:01:00Z
25cfcd8b-7c76-4b4a-9599-d7d8bfcc5b6b,Nord-Pas-de-Calais,2022-03-01T00:01:00Z
cde1a1f5-4515-4b58-a057-a9eed3ecaba3,Rhône-Alpes,2022-09-01T00:01:00Z
0804303b-ac82-403e-b1e2-7859d7c3fb03,Aquitaine,2022-04-01T00:01:00Z
a94157c7-9cde-418c-a800-e9c7fca84d7c,Île-de-France,2022-03-01T00:01:00Z
8f2eeef8-238f-40b3-ab8a-5f692699a97e,Île-de-France,2022-04-01T00:01:00Z
06cc0466-05a9-492d-b090-4cddb101c44c,Martinique,2022-04-01T00:01:00Z
f7fc7bc5-9bec-49cd-85fc-3d270135d18c,Centre,2022-02-01T00:01:00Z
17398654-374d-43d9-9c04-ab31453f627b,Île-de-France,2022-03-01T00:01:00Z
035e7e52-7fc8-412f-b8c3-7a8e4c8e8722,Île-de-France,2022-04-01T00:01:00Z
256f6fbe-fea2-45bd-90df-b5fdca914789,Guadeloupe,2022-10-01T00:01:00Z
aa810ef8-5d22-4102-817c-7d264860a4b0,Midi-Pyrénées,2022-07-01T00:01:00Z
d325052c-1395-4994-87ec-c8f8bc70a6c2,Basse-Normandie,2022-08-01T00:01:00Z
5fae6011-2657-4657-84e0-10d91955a1ed,La Réunion,2022-08-01T00:01:00Z
cea93d10-c102-4fa0-9812-2abd5ff35159,Île-de-France,2022-12-01T00:01:00Z
692452b9-9053-4144-b2fd-14f574af03bf,Nord-Pas-de-Calais,2022-12-01T00:01:00Z
39661f96-df77-4fa9-a613-3f03b30ad4c5,Île-de-France,2022-05-01T00:01:00Z
851eac3a-2a0d-4ae4-9983-e7a4d2360e3c,Île-de-France,2022-06-01T00:01:00Z
f12b2281-16e1-4cf2-b843-aab0b7c7e0a3,Île-de-France,2022-09-01T00:01:00Z
e3c28911-91a9-48b0-ba19-775aae05715a,Auvergne,2022-07-01T00:01:00Z
b70dc777-b0d8-439e-bc1d-9c9ad34d6173,Île-de-France,2022-08-01T00:01:00Z
9a6f4ec6-be54-42c7-a4f6-6d24dc5043c5,Languedoc-Roussillon,2022-06-01T00:01:00Z
29ed74ba-3cfc-4b05-85d9-f46d47e0d342,Île-de-France,2022-12-01T00:01:00Z
48739dbc-3eea-4d21-bf13-83ff63db432f,Centre,2022-09-01T00:01:00Z
d3d55a29-7eb0-46d5-a117-c7764a21ed68,Île-de-France,2022-12-01T00:01:00Z
fb47e8db-c75b-4bcf-a42c-235b4debadd5,Haute-Normandie,2022-10-01T00:01:00Z
8fc8ab83-7dc6-4eb8-90b4-ff18124a2dd9,Basse-Normandie,2022-11-01T00:01:00Z
e0ac63e7-ee8a-4d0d-a340-941270ae082c,Languedoc-Roussillon,2022-05-01T00:01:00Z
ce4568d6-9614-404f-bf4e-db8f3e70fdd4,Centre,2022-10-01T00:01:00Z
ec1c0da6-f202-4fbf-94de-6b24f85e2f35,Nord-Pas-de-Calais,2022-08-01T00:01:00Z
832a37b2-0a10-4f78-be47-42415f68be6c,Nord-Pas-de-Calais,2022-11-01T00:01:00Z
b721399c-81d3-4aff-96c8-52bba86ad076,Nord-Pas-de-Calais,2022-09-01T00:01:00Z
4c9d0466-4859-4ab8-acee-d4fd58ced70b,Île-de-France,2022-12-01T00:01:00Z
42b3739e-61e5-41e6-a66c-1841f96f71f9,Picardie,2022-04-01T00:01:00Z
1f1e9336-a19a-45eb-8817-4b688f7e83fd,Midi-Pyrénées,2022-02-01T00:01:00Z
cb5ab2c4-bda7-4809-a076-8c36e12ef9e3,Pays de la Loire,2022-06-01T00:01:00Z
bcd8c266-afea-4a94-aceb-e6b17ae99fe4,Île-de-France,2022-03-01T00:01:00Z
751db847-3f11-4be3-855e-a7c6f7333f95,Île-de-France,2022-07-01T00:01:00Z
bcb2dde4-b2b0-4b5b-8be0-a64d8959a9a6,Corse,2022-10-01T00:01:00Z
973c12e0-9b62-4549-aab3-94a69b415881,Lorraine,2022-11-01T00:01:00Z
c028b471-7ff7-45f9-9c89-8418971a7f4d,Alsace,2022-02-01T00:01:00Z
c6a379e7-527d-4556-8190-6dac5c0c42bc,Île-de-France,2022-12-01T00:01:00Z
fea9708d-df1a-454d-a045-fa5204639307,Île-de-France,2022-07-01T00:01:00Z
306f4ba8-63a7-4995-8c47-adaea26e3e65,Aquitaine,2022-09-01T00:01:00Z
7c3dd964-8803-42f1-9868-1311571fa862,Île-de-France,2022-07-01T00:01:00Z
c92ddb65-f7e3-4b4d-b0d7-cd2280ae5c16,Guadeloupe,2022-08-01T00:01:00Z
1a69dfe7-a7dc-4977-af4f-c1684a3c1d9f,Lorraine,2022-06-01T00:01:00Z
161fc7e3-2e61-4264-ae9c-e62fb3bb09d3,Lorraine,2022-09-01T00:01:00Z
7b9e4e98-f7c2-455c-8ea7-e444e6c6d3b2,Provence-Alpes-Côte d'Azur,2022-04-01T00:01:00Z
ae69c8c8-fefb-4628-85a8-8f3c46795a27,Mayotte,2022-03-01T00:01:00Z
71479052-3935-4d62-a16e-c645c54c773b,Île-de-France,2022-08-01T00:01:00Z
130a01ec-5630-4e4e-82a3-73e685855ba1,Île-de-France,2022-09-01T00:01:00Z
3558a4af-bd35-4650-b853-de6a45451f92,Île-de-France,2022-03-01T00:01:00Z
c163c700-88e4-4985-bf4c-eab676cb0fd7,Île-de-France,2022-08-01T00:01:00Z
008f1004-5e10-4b86-95fb-bdc39bfdfc80,Île-de-France,2022-05-01T00:01:00Z
4f9b9f64-a6d3-4d27-afed-495f8975d0d3,Île-de-France,2022-12-01T00:01:00Z
4d080bf3-156f-4a45-81e8-00056c328e1d,Centre,2022-10-01T00:01:00Z
11517fe8-f427-4ae9-af43-fb1f10fb5930,Provence-Alpes-Côte d'Azur,2022-04-01T00:01:00Z
945bdca1-a359-4a14-bff5-4d4130079c7f,Rhône-Alpes,2022-08-01T00:01:00Z
3c2d71a6-b595-43ff-9be3-cdcb8b8ddcac,Basse-Normandie,2022-03-01T00:01:00Z
b2a04736-efd6-44ae-a17e-7c41f3aa1608,Île-de-France,2022-03-01T00:01:00Z
fb1806c2-642a-45b1-a1b7-3a8389ba43be,Île-de-France,2022-08-01T00:01:00Z
4d080bf3-156f-4a45-81e8-00056c328e1d,Centre,2022-02-01T00:01:00Z
c5264371-11d6-47eb-8060-6a07c6c5fe1e,Rhône-Alpes,2022-07-01T00:01:00Z
29ed74ba-3cfc-4b05-85d9-f46d47e0d342,Île-de-France,2022-07-01T00:01:00Z
b768ff7d-0cd7-4f15-b92e-d02f5fba59be,Île-de-France,2022-06-01T00:01:00Z
20261525-3f0e-4034-9b68-2a54b094fb57,Haute-Normandie,2022-02-01T00:01:00Z
1f1e9336-a19a-45eb-8817-4b688f7e83fd,Midi-Pyrénées,2022-07-01T00:01:00Z
cecc267b-da9c-4972-827f-0fd65ea64f82,Île-de-France,2022-04-01T00:01:00Z
53302e7a-4039-4f76-b986-14a8bf95dfdc,Île-de-France,2022-11-01T00:01:00Z
b0a55592-2b89-4b03-a963-d93a35f2e3a4,Nord-Pas-de-Calais,2022-07-01T00:01:00Z
519e4838-de9f-4b73-b73e-47016888cf47,Île-de-France,2022-08-01T00:01:00Z
130a01ec-5630-4e4e-82a3-73e685855ba1,Île-de-France,2022-04-01T00:01:00Z
86235f54-efac-420e-867e-50a61b7cfdd2,Île-de-France,2022-04-01T00:01:00Z
947ae933-9093-4fb9-b17f-7020d2168f14,Île-de-France,2022-06-01T00:01:00Z
862d8a78-c5b2-4cf5-9e44-bd9c645424ff,Midi-Pyrénées,2022-12-01T00:01:00Z
fdd7a485-6240-4658-8899-2799d5e505ae,Midi-Pyrénées,2022-06-01T00:01:00Z
16536289-98d4-4c1e-8dcb-fea1da8b112d,Île-de-France,2022-02-01T00:01:00Z
c411230f-0262-4805-b23d-3b2441f55f06,Île-de-France,2022-09-01T00:01:00Z
da22cb2f-4a29-4052-b5f0-7ca49c12ad1e,Centre,2022-12-01T00:01:00Z
879682d9-57cf-4b08-b553-fbd6c1b8a59d,Midi-Pyrénées,2022-11-01T00:01:00Z
96a7e1e2-c5e8-4b1e-bc57-1d5542b9da7b,Mayotte,2022-10-01T00:01:00Z
5cb8f1a1-102e-45ee-b863-c9efdab2f14c,Nord-Pas-de-Calais,2022-11-01T00:01:00Z
f68fbc24-1c24-466d-b1c2-1abf9b9eddb2,Limousin,2022-07-01T00:01:00Z
7ac933ed-db9f-4169-a52d-0b86fab44379,Bretagne,2022-09-01T00:01:00Z
b1941ff5-f4ff-4f0d-ae03-30acb30296cd,Île-de-France,2022-04-01T00:01:00Z
e88794fa-4409-478a-8c65-5bad5b15de96,Languedoc-Roussillon,2022-05-01T00:01:00Z
e75d632e-20d5-4b7b-b551-356cd8c7feb4,Provence-Alpes-Côte d'Azur,2022-02-01T00:01:00Z
4530bf1e-9169-4006-a5f7-b3b6532cff38,Île-de-France,2022-07-01T00:01:00Z
0d66dd5c-833e-40cf-aaca-6e36e8333015,Languedoc-Roussillon,2022-08-01T00:01:00Z
25d68354-c057-4ae1-9c43-3387cae5eed1,Nord-Pas-de-Calais,2022-08-01T00:01:00Z
d66095a7-3d95-4124-8f7d-e28a1ee5f304,Centre,2022-06-01T00:01:00Z
3e5f6ad3-a353-4e0c-b23c-6b03c9061761,Pays de la Loire,2022-12-01T00:01:00Z
835b119c-9c82-4642-94c7-b06145a06278,La Réunion,2022-05-01T00:01:00Z
f304e38c-5ef7-4790-bea4-7d1efd711dff,Guyane,2022-07-01T00:01:00Z
d9bae3f7-a974-4c39-8378-c5263f9bcdd8,Île-de-France,2022-11-01T00:01:00Z
03732ad7-f757-40dd-a834-9a6654544009,Limousin,2022-10-01T00:01:00Z
98c4027c-bf62-4dc3-bceb-aa8e5d500ed3,Provence-Alpes-Côte d'Azur,2022-08-01T00:01:00Z
7ec791a6-38a7-44bb-af7b-101a2623d4dd,Midi-Pyrénées,2022-11-01T00:01:00Z
0bdc87fe-5e54-4927-a9b9-5d6af305a679,Provence-Alpes-Côte d'Azur,2022-08-01T00:01:00Z
e322ec16-e24b-4d9f-8031-e6decd8de771,Île-de-France,2022-06-01T00:01:00Z
16e60bba-6697-49be-be15-2a06b14fd6cc,Île-de-France,2022-05-01T00:01:00Z
cd1a9899-5c4b-4ae1-84bd-3e622f7cca36,Provence-Alpes-Côte d'Azur,2022-12-01T00:01:00Z
baa4b30b-9ef8-499e-909a-beef59732ddd,Basse-Normandie,2022-09-01T00:01:00Z
70cf0a63-c722-4663-8f09-d514ac4cb41f,Lorraine,2022-08-01T00:01:00Z
001faa15-5d84-479d-ab40-c1d865ae5647,Martinique,2022-02-01T00:01:00Z
99f95661-118e-4ddd-8603-459e7563eed7,Île-de-France,2022-12-01T00:01:00Z
7229295e-8ff2-4aef-b75b-73935bcdd9f4,Languedoc-Roussillon,2022-03-01T00:01:00Z
b5976ee0-f7b1-46ff-9c0a-273a5254867e,Picardie,2022-07-01T00:01:00Z
f68fbc24-1c24-466d-b1c2-1abf9b9eddb2,Limousin,2022-10-01T00:01:00Z
341f48fa-ecde-4ce7-8fc0-7c2a23e31351,Île-de-France,2022-07-01T00:01:00Z
6b00245d-5b1c-409c-9bba-3e33b93add8c,Alsace,2022-08-01T00:01:00Z
65e139dd-64e9-4591-a12a-1c0160eeefdf,Île-de-France,2022-08-01T00:01:00Z
5a44ff89-2981-47f9-81ed-12c86c3ad987,Île-de-France,2022-02-01T00:01:00Z
b17f1396-1e56-4543-9fec-9ec331b86499,Languedoc-Roussillon,2022-10-01T00:01:00Z
3ce3d3fc-6ec4-4343-a201-0bb1a1afc271,Corse,2022-04-01T00:01:00Z
