BANKCUSTOMERID,STATECODE,POINT_IN_TIME
00bc5511-8cb6-4ae9-81ae-cae5225e1c68,IL,2023-01-01 00:00:00
00c97101-3957-4e49-a321-89b91949b774,CA,2023-01-01 00:00:00
00d90dc4-92ea-43bc-aaa9-16a233531950,CA,2023-01-01 00:00:00
00e33169-6370-449e-a904-1532453452b8,VA,2023-01-01 00:00:00
00f0d0fb-5213-4372-a2b4-b687bac82d90,PA,2023-01-01 00:00:00
00fbf9fc-479f-4125-ac48-4cd2ab05b75c,MO,2023-01-01 00:00:00
00fc882f-bc94-4431-9718-8939eafbda99,CA,2023-01-01 00:00:00
00feee84-1fee-4cce-be76-672b94c5cf17,FL,2023-01-01 00:00:00
0105a569-7c30-43dd-926e-12c0c93ca935,NY,2023-01-01 00:00:00
010e6a7c-c165-473e-a7ce-3053a6487d48,VA,2023-01-01 00:00:00
010f025f-3eaa-4d3d-84d6-0ade119a7e2a,KY,2023-01-01 00:00:00
010f6f93-f493-4219-acea-1ccc4767e124,OK,2023-01-01 00:00:00
01139aef-d6a6-4c6d-aa4b-5491acaabf02,MN,2023-01-01 00:00:00
0116845d-4330-4842-8c21-128645c8b6f5,WA,2023-01-01 00:00:00
0118cf42-6628-4c2b-bbbd-62f4033fcd44,MA,2023-01-01 00:00:00
013f35c8-b8ed-48b7-b989-4c2202e1de9f,FL,2023-01-01 00:00:00
01407a1a-f7a3-4eb6-a553-21e94af59174,CA,2023-01-01 00:00:00
014e2326-257f-4e1e-a2ff-22dc07372b0c,ND,2023-01-01 00:00:00
015bec80-0a81-4ac2-bf55-12643303717a,TN,2023-01-01 00:00:00
0167e4f1-59af-470f-8d24-f136fd332579,PA,2023-01-01 00:00:00
01691179-2dc7-4bdb-bb23-b225cb9cf0c2,KS,2023-01-01 00:00:00
01698550-6b50-423a-aa1c-0ae2cd1d92eb,CA,2023-01-01 00:00:00
0172edfe-9d5b-46a8-b79c-3f074e7be80c,OH,2023-01-01 00:00:00
01779819-e35d-4b8f-8ba0-fec2ac663925,CA,2023-01-01 00:00:00
0181ba1f-9bf8-4695-a7c7-dc004934dc4a,NY,2023-01-01 00:00:00
01875afe-5cba-4808-bf7e-2548afaef900,CA,2023-01-01 00:00:00
018f4c8a-e77e-4f64-828b-fd56e9735e3b,FL,2023-01-01 00:00:00
01906416-50a1-49f9-a2c0-a86b4fdb6fe9,CA,2023-01-01 00:00:00
0192ce7d-dfbc-4240-9ce9-19161ef2deb7,AL,2023-01-01 00:00:00
01933e72-2557-460c-b81f-30cde14e287f,NY,2023-01-01 00:00:00
01acf143-6b23-47e4-925c-e6a99a03ea10,MA,2023-01-01 00:00:00
01b300c1-dbc3-4ebf-bd33-5f66921b12a7,TX,2023-01-01 00:00:00
01b56386-4f0f-457a-a178-92fad592ce3d,WV,2023-01-01 00:00:00
01b62a47-bf25-482d-8944-3e2453fe31f6,NJ,2023-01-01 00:00:00
01bafb0f-b982-49d8-939a-83dce6ef30bd,NY,2023-01-01 00:00:00
01c0760f-98cf-4b41-b9b6-68eb062229b6,IN,2023-01-01 00:00:00
01d54e6a-a24f-468c-b594-f67bd2387b74,OH,2023-01-01 00:00:00
01daa7ee-c43a-4388-9dea-36df6893602c,CA,2023-01-01 00:00:00
01db8d71-de22-49cf-9086-800f0f8814f4,CO,2023-01-01 00:00:00
01ee1dea-1052-47a5-94f6-57e1a1efbd93,LA,2023-01-01 00:00:00
01f02eb9-0575-4d90-ba7d-7d22bd935a56,WI,2023-01-01 00:00:00
01f1c7b1-4ce8-4315-b5e7-d7e66d718fc3,MI,2023-01-01 00:00:00
01f73e5a-609a-4d0c-832d-dfac3fa25446,MA,2023-01-01 00:00:00
01f7f8b9-7914-416e-bb42-c056576f1d7f,VA,2023-01-01 00:00:00
020283f7-a034-4316-89f2-4cbce3b8cca3,OH,2023-01-01 00:00:00
020c26ec-75e0-4c68-8e78-8b2745c58647,TX,2023-01-01 00:00:00
020c390b-6cdf-402d-8fb8-7ae2ccfdc8e6,NY,2023-01-01 00:00:00
0210cda9-9542-4254-a80b-070a6814b72c,MI,2023-01-01 00:00:00
0212e527-cea4-4302-b93f-b97083fca311,WY,2023-01-01 00:00:00
02197bf0-9449-4f48-a538-1901d5c1a4e3,MI,2023-01-01 00:00:00
0219e157-0739-4516-89f9-ad4c16c3ad4c,NC,2023-01-01 00:00:00
022a956a-349b-4a2b-8c2c-9ef1a47a4fa2,VA,2023-01-01 00:00:00
023627e9-63f3-4b59-9289-42f804d3b7f4,MO,2023-01-01 00:00:00
023775dc-684a-4d30-8d57-366b4adc91ad,TX,2023-01-01 00:00:00
0248e6f1-fa57-43ef-82c0-2e26b681f8a7,TX,2023-01-01 00:00:00
024ddb4d-ead1-4db4-9762-dd0cd0717162,CO,2023-01-01 00:00:00
025a0090-951e-40b6-9169-73a8b7067e15,SD,2023-01-01 00:00:00
02682a23-b959-4308-8252-b529d19d8137,WA,2023-01-01 00:00:00
026c3805-5a23-4f4b-a0ab-dd56224ab04b,MA,2023-01-01 00:00:00
026e0500-6b93-4546-951b-4cd601eac12c,OK,2023-01-01 00:00:00
026fbc66-893e-4071-9b25-69935140b6cc,CA,2023-01-01 00:00:00
02759b41-b3a1-49d8-832e-75f16d597c74,MA,2023-01-01 00:00:00
027e0aef-47be-4e92-8378-b5d91143866b,ME,2023-01-01 00:00:00
0286aec0-12ec-4192-9b49-a1062700b618,VA,2023-01-01 00:00:00
029cfd33-1f31-4043-b627-c696ec19de0d,MN,2023-01-01 00:00:00
02a8c533-aecc-46cd-a038-556af36d9a96,SC,2023-01-01 00:00:00
02ae9418-7488-4507-8032-dd374ede6d21,SC,2023-01-01 00:00:00
02b0dd84-c154-4578-a668-00dd942040db,PA,2023-01-01 00:00:00
02b6da95-c106-4a34-b724-7a083f507acf,MI,2023-01-01 00:00:00
02b6e437-fd09-4d14-b392-4d0c4858fb53,VT,2023-01-01 00:00:00
02bbd90d-84c4-499b-a611-02464f329d92,TX,2023-01-01 00:00:00
02bc94cc-e46c-4246-9ee9-d9ef5cbe2f95,IA,2023-01-01 00:00:00
02bcf52a-f678-4b13-b8a7-33cbcf313442,WI,2023-01-01 00:00:00
02c09362-3a0d-4705-9cba-b45e7e6bc23a,OH,2023-01-01 00:00:00
02c7fcaa-42de-4869-8517-5f13ebcea3ae,SC,2023-01-01 00:00:00
02c966e7-32d8-4678-8011-688cc227c224,MI,2023-01-01 00:00:00
02ccae74-0d34-45a5-b8a0-02bcd636b1d6,NY,2023-01-01 00:00:00
02d2bf6f-5dec-406b-a9a9-650b9b946fa8,MI,2023-01-01 00:00:00
02d3119b-c99b-442d-a1ea-9ec1c2f5d89a,FL,2023-01-01 00:00:00
02d3ac57-41b2-4e14-94b9-38b1eb233e13,IN,2023-01-01 00:00:00
02dd32e2-20ff-4368-9772-1bbc4fbcc233,FL,2023-01-01 00:00:00
02e55b9c-3449-4ef4-af77-c8fe9967aae9,MI,2023-01-01 00:00:00
02f39232-fa41-4403-b150-9824066b5a14,CO,2023-01-01 00:00:00
0303caa3-e78c-46f0-8346-51f6b73b7a2b,NY,2023-01-01 00:00:00
0305e6ed-be1e-4f4c-a01f-5d5721853cb4,MA,2023-01-01 00:00:00
03079b02-94e4-450d-b54b-a967bbcfc533,MD,2023-01-01 00:00:00
031dc63a-989b-4ed8-b09a-2c05747e032d,NY,2023-01-01 00:00:00
0320e7df-fdb0-4708-b969-3e101f5283e0,NJ,2023-01-01 00:00:00
03306916-7a61-417e-8cd9-8c7b5610204d,NC,2023-01-01 00:00:00
0340ef07-75f4-42d3-9467-0b73af0e296f,MD,2023-01-01 00:00:00
03436b07-bad9-4dfc-a8b7-4944c4f82a68,TN,2023-01-01 00:00:00
034d0a82-a36f-41a4-a766-fe1fd0071e7e,VA,2023-01-01 00:00:00
03591aa2-f9e4-42bd-9484-36ed63c491a1,SD,2023-01-01 00:00:00
03645d38-7943-4821-a396-4cf8d7375467,CA,2023-01-01 00:00:00
036c489f-2ce8-4f90-8e6c-be87e8fbd9e5,OH,2023-01-01 00:00:00
036f679d-873c-431a-b63d-1727fb2f047f,MI,2023-01-01 00:00:00
0371e4db-3acc-4da6-9b46-9120017aa026,TN,2023-01-01 00:00:00
0372c01e-e27e-4999-816c-853bfb08a29b,SD,2023-01-01 00:00:00
0375c9a4-2bc7-41f1-92f3-a020345dfeef,FL,2023-01-01 00:00:00
037cfb7e-0e2e-4f41-9477-f8d739fc72b0,NY,2023-01-01 00:00:00
038c51ae-c0e3-4ae0-adf2-f992e13f9062,AZ,2023-01-01 00:00:00
0390b36b-c63a-4862-9cf4-c65f5b167814,GA,2023-01-01 00:00:00
03b5ff2f-04f7-47c8-8186-a85f1c9a153b,VA,2023-01-01 00:00:00
03c4be10-eefc-4a74-8e9c-59ba6bfece5b,CA,2023-01-01 00:00:00
03ca9a90-f6ea-421e-baa0-08ed287ff9f1,VT,2023-01-01 00:00:00
03d9a28e-edb4-4e0a-a727-1cfba5c8d5bf,MN,2023-01-01 00:00:00
03ecd3b0-7018-4ea5-8885-c98dd5530b7b,GA,2023-01-01 00:00:00
03ed82a2-c081-4025-b9b9-5e9676058859,NY,2023-01-01 00:00:00
03f4754c-e032-4154-b4b0-4c2c2c34d0be,MN,2023-01-01 00:00:00
04093a8b-555f-433a-b089-044313bff807,CA,2023-01-01 00:00:00
040a318c-fae4-4ce3-bc47-5acd193282b5,VA,2023-01-01 00:00:00
041cad83-7e74-4337-b8c7-742f75491a80,CT,2023-01-01 00:00:00
042375ca-c400-4fb1-8c76-24194ae9154c,WI,2023-01-01 00:00:00
042964f1-1bee-4213-b961-cff36591defc,CA,2023-01-01 00:00:00
042fc978-12ab-4667-8f02-c2622a251f89,MN,2023-01-01 00:00:00
04354fe6-0f88-4edc-b43d-03ef4ddb37de,NY,2023-01-01 00:00:00
043bf382-2ea1-4e56-832a-a7887cc6454b,NY,2023-01-01 00:00:00
0448e190-36c8-49e4-af31-e7277483a954,CA,2023-01-01 00:00:00
0449d6b5-70c5-4444-ace5-6ed7246278f2,FL,2023-01-01 00:00:00
044d7e00-32af-4cf1-9d3d-2a74ba94aab9,LA,2023-01-01 00:00:00
045cbb1e-8e5e-402e-9b9b-79dfd3269f6e,NY,2023-01-01 00:00:00
0463f4b7-d59e-4dfd-bd29-1bd5e2e4db3f,IL,2023-01-01 00:00:00
046592a7-4aaf-4e5b-9bfc-0087ffcb07c2,TX,2023-01-01 00:00:00
046b0834-4e83-48f9-9ad8-4ff8dd8ae982,WV,2023-01-01 00:00:00
046b5a28-7776-452b-a90c-b99c12affaa8,TX,2023-01-01 00:00:00
046bbc50-e92e-4721-b09c-e74e365f43c7,MI,2023-01-01 00:00:00
046e2a14-858f-4977-bab5-50ee720c20eb,MO,2023-01-01 00:00:00
0472f018-443c-43a5-8a9d-1bc0518870f2,NV,2023-01-01 00:00:00
0473d49b-0940-4a09-bbda-c95ca0cf585f,NY,2023-01-01 00:00:00
0479bb63-0318-4fbd-9351-6471822a6543,CA,2023-01-01 00:00:00
047fdc07-dfd3-4842-9226-e7cd0405e5df,PA,2023-01-01 00:00:00
0483b968-6c96-4056-aeee-1e98374c6569,OH,2023-01-01 00:00:00
048a90f5-eabd-4e75-9f20-72c149d95bec,MS,2023-01-01 00:00:00
0491e368-b204-476f-97bb-8775d8d767a5,MI,2023-01-01 00:00:00
04a8d444-5664-484f-b484-d99f4253704f,WI,2023-01-01 00:00:00
04b11c4c-487e-4ec1-8a16-dba57198b1f5,NC,2023-01-01 00:00:00
04b45ed9-8ddb-450d-9a76-f2e640a35606,CA,2023-01-01 00:00:00
04b83d82-f586-4dce-8527-36fdedd9f112,TX,2023-01-01 00:00:00
04c07508-af7b-4ec7-8a57-4940de9ab676,MA,2023-01-01 00:00:00
04d7ef9b-6fb4-4518-b722-ac7ff614b2ec,TN,2023-01-01 00:00:00
04d84913-7a7d-41c9-8b65-e3e4b316d55c,SC,2023-01-01 00:00:00
04f12488-0070-4b65-a1c5-793ef4d5eb74,MI,2023-01-01 00:00:00
04f12e5d-73fa-499c-b183-cbc1be4caf4b,TX,2023-01-01 00:00:00
04f20184-4206-44fb-b301-2ec3c10c8441,IN,2023-01-01 00:00:00
04f4a019-d253-4c00-b50e-b7f5ea81f95e,MS,2023-01-01 00:00:00
04f79ee2-114c-4987-bbe5-8c2c3a432a71,VA,2023-01-01 00:00:00
04fe16b1-248d-451f-91e2-2403d33ad2a8,FL,2023-01-01 00:00:00
050e0a8b-2ea4-49aa-9cf3-95f68ea3777f,AL,2023-01-01 00:00:00
051dc942-711c-48e6-865b-dca7bbcde50b,CA,2023-01-01 00:00:00
0524aacd-eb19-48b7-94c1-b8a5e4ead9dc,IA,2023-01-01 00:00:00
05255948-65a7-49b5-8cc7-8af6e78cee0b,TX,2023-01-01 00:00:00
05266687-915b-44d3-bdcb-b9d7f68af000,KY,2023-01-01 00:00:00
05340f7e-bb6d-4c83-959a-22596773fef3,IN,2023-01-01 00:00:00
05345352-51c5-4e79-bf96-ba6897af89ed,TX,2023-01-01 00:00:00
053ba03a-164e-44eb-a0e7-2368e4099fc3,CA,2023-01-01 00:00:00
05460bab-52ee-4073-91cf-bd1fb55847ed,MI,2023-01-01 00:00:00
054847bd-691a-4c16-b567-5bf936b48365,WI,2023-01-01 00:00:00
0550cfcc-6e6d-4a23-ac1c-cc403ec7762e,IL,2023-01-01 00:00:00
0553d4c9-f9aa-4d8c-a3dc-7f3e9d84eb84,TN,2023-01-01 00:00:00
05597bd3-3ae5-41ae-8519-8c789c1181c0,IN,2023-01-01 00:00:00
05627681-3ace-4748-b67d-d175891eaf2b,WA,2023-01-01 00:00:00
056e60ed-ef65-47cd-a4ef-315ed1bb57a5,KS,2023-01-01 00:00:00
0571f583-7ebd-4e92-ab23-cc779817c7e5,TN,2023-01-01 00:00:00
0575e33d-3ebf-4acd-91c5-5e561c6bb050,IL,2023-01-01 00:00:00
057ce3ae-2b82-494d-a101-4e8a290bd913,LA,2023-01-01 00:00:00
057d5945-3ae6-4442-9d35-c01e1c2e830b,NY,2023-01-01 00:00:00
058017b5-c4a1-473c-9915-2ab2677d5fde,FL,2023-01-01 00:00:00
0581f090-00fa-4cb1-a4d5-89ed5b5be2e6,IL,2023-01-01 00:00:00
058ee676-199b-4c79-bbd5-43ff50f0bcf6,NY,2023-01-01 00:00:00
0590e883-72e6-4fb8-8dbf-6430d6d0fe44,FL,2023-01-01 00:00:00
0596873e-88b3-4929-b188-aab8025bf25e,IA,2023-01-01 00:00:00
05970831-0271-486f-841b-f10431865c68,MA,2023-01-01 00:00:00
05a490ec-4bdf-4fd0-a556-ed864901b20c,SD,2023-01-01 00:00:00
05a4958b-30d7-4d9c-9d51-3f19a3292ada,AZ,2023-01-01 00:00:00
05a53ff2-a610-4ec9-ba5c-ee869d048a0b,WY,2023-01-01 00:00:00
05aa4c0a-4d85-44c8-b1dd-0d942f148f22,WY,2023-01-01 00:00:00
05af6d32-68f9-4b33-af16-9a4e07c8e9c7,PA,2023-01-01 00:00:00
05b00b99-82cb-4043-9a6f-2703bfe3b156,TN,2023-01-01 00:00:00
05c7c6bc-38d1-4ffc-bff9-831ae905a449,CO,2023-01-01 00:00:00
05d9832f-6008-4f50-87ab-e4b77a933a08,ID,2023-01-01 00:00:00
05d9a35e-bde7-405d-bd4d-8cc9802f4bc1,OR,2023-01-01 00:00:00
05edb28f-70de-47e7-9b3d-59981ecc56d3,OH,2023-01-01 00:00:00
05fa9529-15b5-414d-b7ab-68de088c50fa,FL,2023-01-01 00:00:00
060188cf-7460-4f1c-8f42-a076b07c8f70,IL,2023-01-01 00:00:00
0601af12-052b-4bb1-ac53-7fa2698cecb0,NY,2023-01-01 00:00:00
06074475-b263-4296-bfe0-c91b1bdc1c06,ME,2023-01-01 00:00:00
060b64c9-34fa-40fc-b4f5-24ff5820493f,DE,2023-01-01 00:00:00
060cc6ab-9603-4824-b1b7-013cc27f98d5,MN,2023-01-01 00:00:00
060d5834-fb5c-43a2-a3f1-5bd1e02f83e4,VA,2023-01-01 00:00:00
06107e8f-f8d2-450e-a851-a287328e0c4a,FL,2023-01-01 00:00:00
061517ba-20ff-4998-b2e2-cf50fcc7e5a5,IL,2023-01-01 00:00:00
06152d2d-b1e3-463b-8a43-1cc6fcc44ea3,OH,2023-01-01 00:00:00
06179f5f-5c5c-4273-bf4f-c97be22f07d8,OH,2023-01-01 00:00:00
0617ba32-9f9c-4d97-a445-c19c4f553b2a,FL,2023-01-01 00:00:00
062c09ea-bc54-4d6a-89f3-8377aeb5dbca,WV,2023-01-01 00:00:00
062ebdcb-e57d-4848-b6f4-1289ca3e7d6a,PA,2023-01-01 00:00:00
0633e645-3d5c-4c18-bd52-c97ec2856dc7,NH,2023-01-01 00:00:00
064e101f-07cf-474d-87a8-a37f594f7258,MN,2023-01-01 00:00:00
064ec460-4a40-48ac-9b56-4dfb289b2f71,SC,2023-01-01 00:00:00
065224b7-1258-4b1a-a219-011a7b3f8109,WI,2023-01-01 00:00:00
065885b3-e4a6-4eb4-aa80-6a6293147a35,ID,2023-01-01 00:00:00
0659ab27-0f23-40c6-9d9b-ed05ed938398,MN,2023-01-01 00:00:00
065cb663-2817-4130-8fe1-d4ca6df88317,IL,2023-01-01 00:00:00
0662ac7a-4a98-45a6-8bfd-518b0aaf40a4,FL,2023-01-01 00:00:00
06657378-5ded-490d-b7e5-26b9efb51fd5,KY,2023-01-01 00:00:00
06672daa-c821-45a3-bdf5-c041c576ce52,TX,2023-01-01 00:00:00
066b7ab1-0081-44c6-864c-e275a1a4af39,CA,2023-01-01 00:00:00
06834f73-ef51-45e1-8b1b-69a33912ec0b,CA,2023-01-01 00:00:00
068be7ca-6dab-47df-96d5-22f07424f60c,CA,2023-01-01 00:00:00
068e8461-c76f-486a-9a9e-a1368f23dd99,CA,2023-01-01 00:00:00
0698b2df-9bf9-4cf9-9571-9bc70064ede4,TX,2023-01-01 00:00:00
069a6d32-3118-4314-a8fd-57dc1b8a5f07,LA,2023-01-01 00:00:00
069bed51-d09c-4e5b-a613-8030b0b5c3be,LA,2023-01-01 00:00:00
069ec4d4-dfb9-4255-a9b9-5ac3645c2c09,FL,2023-01-01 00:00:00
06a012fb-8ce0-455e-82cc-bd3e82876be1,MD,2023-01-01 00:00:00
06a900de-e806-4064-abd4-637bc693d7a4,VA,2023-01-01 00:00:00
06b731c5-99fe-4d54-8940-ea89826e5d98,IL,2023-01-01 00:00:00
06b7d65d-938f-4925-821d-3a374fe51faf,AL,2023-01-01 00:00:00
06bf17ff-f2b7-4167-91a2-8637585246ae,PA,2023-01-01 00:00:00
06c42af6-561a-41fd-88d8-b4140774db15,TN,2023-01-01 00:00:00
06c4e61a-b3dc-4f5d-8d11-7db37786e7b0,CA,2023-01-01 00:00:00
06cd608f-44ca-4a52-a42b-7ffc5f3065df,DE,2023-01-01 00:00:00
06d56264-aed8-4c2e-8284-10193fa2b38d,NJ,2023-01-01 00:00:00
06d5dcfb-ab67-4e9a-8f7e-cdd5afd6abbc,UT,2023-01-01 00:00:00
06d6045e-6877-4f0f-ac6e-0df9f1d23543,MI,2023-01-01 00:00:00
06dab20d-006c-4140-823c-bf18c3aee060,KS,2023-01-01 00:00:00
06e016d9-1a57-4778-b865-24f06e6328d2,KY,2023-01-01 00:00:00
06f65a2e-930f-47d4-bff8-709d8107be74,CA,2023-01-01 00:00:00
06f95a7c-23af-47a9-83cb-3bf0005f207d,MA,2023-01-01 00:00:00
06ffcb47-e957-4809-b6b7-019b9f581a73,TX,2023-01-01 00:00:00
07038c67-3a50-4ada-adb9-a743cb8b264d,NC,2023-01-01 00:00:00
071b25c9-35c6-4193-85fb-7b744d36f660,IN,2023-01-01 00:00:00
071d9419-1639-4123-b7ff-be49dfbbbd3b,TX,2023-01-01 00:00:00
0721d56a-3a13-408d-87eb-83d23b7126e6,TX,2023-01-01 00:00:00
0728da2a-1f94-4a9a-8c0e-259ceb05a506,MD,2023-01-01 00:00:00
07333e9f-8644-4435-995c-9103f67be430,CA,2023-01-01 00:00:00
0735fe0f-3e87-4648-990e-ed5fc7cc84bf,KS,2023-01-01 00:00:00
07420ff8-02f7-4837-9c28-4d0b4450c6cf,OH,2023-01-01 00:00:00
0748e19a-4061-48aa-9eba-92b774520646,MN,2023-01-01 00:00:00
074a703f-df46-4bce-81ea-c07a3a368eb8,LA,2023-01-01 00:00:00
074ab877-014a-4e0d-a2f4-68be314ea2fa,IL,2023-01-01 00:00:00
0751532e-2c91-480a-a611-7b6dfa400a24,MA,2023-01-01 00:00:00
0751ded5-d6c3-4e78-8ea8-f36905adff7b,AR,2023-01-01 00:00:00
0756833b-f446-4be6-a013-2137268b7311,RI,2023-01-01 00:00:00
0778703f-22c5-44cf-b04d-20708e6c7654,OH,2023-01-01 00:00:00
077d60cc-9ed0-4e8a-a46a-7ee38aceef0d,NY,2023-01-01 00:00:00
0780c7d7-7680-4150-b0c0-7d5644b7544c,GA,2023-01-01 00:00:00
07847b6b-d96d-443d-8d17-c4b85734f823,KS,2023-01-01 00:00:00
079abc46-1f74-4518-b463-1c39181db308,NY,2023-01-01 00:00:00
079e2cc1-f745-40b1-8035-c50a8d281afa,PA,2023-01-01 00:00:00
07a1bf8a-273a-446a-8c36-537cfd19a7d5,NJ,2023-01-01 00:00:00
07a2ec9c-2b5e-4882-9b44-b05d8b5d0598,GA,2023-01-01 00:00:00
07a332ab-3d7e-4c5d-9664-fc98b1905bad,ID,2023-01-01 00:00:00
07abcfc4-59d5-44a5-a869-9a9f3a7e15c5,CT,2023-01-01 00:00:00
07b392a1-359c-4b49-8f02-4511f333a322,NY,2023-01-01 00:00:00
07b6bd22-e9f2-4030-9c86-d7af84e378df,MI,2023-01-01 00:00:00
07bcef4e-ccd4-4fa9-9aec-9304aeb2cb7a,KS,2023-01-01 00:00:00
07c67aea-b17e-483a-8948-8e5d742a5c11,OH,2023-01-01 00:00:00
07ce2b2a-c15c-4095-b5a6-c961d0900800,CA,2023-01-01 00:00:00
07dbd7af-eeb9-4024-b260-e081d68544e8,CA,2023-01-01 00:00:00
07e5e321-e05b-415f-9766-be6215714f60,CA,2023-01-01 00:00:00
07ed4e34-3ba4-41b9-8702-f0260f4edfcd,NY,2023-01-01 00:00:00
07f18079-9f82-48ee-83d1-160c897fe56f,NY,2023-01-01 00:00:00
07f9cb9f-1dba-40e5-b4bb-50b1bed8cd9f,TX,2023-01-01 00:00:00
07faf661-2d50-46da-981d-9387198ed93a,FL,2023-01-01 00:00:00
07fc62d5-2a27-4f25-8ace-5b5572daf29c,LA,2023-01-01 00:00:00
07fd8bd4-0a64-4039-a391-8462f1bd1cb1,AR,2023-01-01 00:00:00
08004351-d6d4-41b8-b745-0fec7178b3ee,CA,2023-01-01 00:00:00
08005657-c652-4fa8-b7a2-9fafd31eb8cd,OH,2023-01-01 00:00:00
0802ff33-8c77-4d2e-a6ef-108539523bc5,CA,2023-01-01 00:00:00
08097cc7-3570-4872-b9c1-0d26617180dc,TX,2023-01-01 00:00:00
080d9251-7dde-408b-92e4-cbb07e36e49c,LA,2023-01-01 00:00:00
080e032c-f545-4222-86be-5604cfef5a42,MI,2023-01-01 00:00:00
080ee5d4-2452-41f0-b820-c72191682a3b,GA,2023-01-01 00:00:00
0814549b-bb73-4ad5-9bab-e81bc6ec6ee8,IL,2023-01-01 00:00:00
081922c0-e54a-4d8d-aa92-1808201fcc7d,MN,2023-01-01 00:00:00
08214de0-d5a1-4f2c-afd8-2a55a5c54b6c,CA,2023-01-01 00:00:00
0822f040-62ec-4d91-8435-dd05a36e7e04,UT,2023-01-01 00:00:00
082d32fc-3636-4ac9-8ed1-5cf62ce672d2,OH,2023-01-01 00:00:00
082e7ffb-c538-4a26-88a2-32aa87d816bc,FL,2023-01-01 00:00:00
08309df2-72bc-432f-9f1a-a565b552396c,KS,2023-01-01 00:00:00
083659f6-a4c0-4237-b88b-a5e246370ee2,NV,2023-01-01 00:00:00
083715fa-3217-4d3e-8db4-ed42e69a5453,NC,2023-01-01 00:00:00
08387dfe-f552-47da-9c00-dbeff6fb35ff,TX,2023-01-01 00:00:00
083a8960-250f-49ac-819c-435997d2433b,GA,2023-01-01 00:00:00
083b2c23-6b69-47be-a6ad-285f33009b5c,CA,2023-01-01 00:00:00
0842f2bb-1dcf-47fb-9acf-b72b16201f8b,NC,2023-01-01 00:00:00
0845b015-128f-4a26-9adf-e59143a6c67a,IL,2023-01-01 00:00:00
08632ce0-77a8-4ff9-9c02-64a936b57be9,TX,2023-01-01 00:00:00
086b72d3-c560-4beb-bfab-2fd490742905,NY,2023-01-01 00:00:00
086fd27e-5f37-407d-938a-94a4568db73b,PA,2023-01-01 00:00:00
08749d9b-ba1f-43e9-b31e-6659730a975d,MI,2023-01-01 00:00:00
0880b451-534c-45ea-9cb8-1fab56cbb730,WV,2023-01-01 00:00:00
0894f6ea-cdf9-4843-853b-f4e11db0563e,CO,2023-01-01 00:00:00
08978222-945a-4949-95f1-13c2b6aad35f,AL,2023-01-01 00:00:00
08a7de68-0d29-4720-b394-cdbc3be3410b,NJ,2023-01-01 00:00:00
08aa77d7-69c0-4fbf-8a77-1e730099b387,MI,2023-01-01 00:00:00
08add877-bbf8-4699-9741-277467dc6805,TX,2023-01-01 00:00:00
08b4a3e6-f1a9-4806-84d2-0f8c6e489f2e,HI,2023-01-01 00:00:00
08b91584-dbe1-43c7-961a-8238fac636b0,CA,2023-01-01 00:00:00
08bc7470-fefe-4e5a-b552-7b62584655a4,CA,2023-01-01 00:00:00
08bd6ec9-f15e-4a62-a231-acb8cf36c122,MA,2023-01-01 00:00:00
08d10be9-7c56-4d22-900a-7cc968d68144,NJ,2023-01-01 00:00:00
